Date,Address,Land Area,Price per m2,Price Total,Subdistrict,Regency
2024-04-29,"Busungbiu, Buleleng",100.0,1250000.0,125000000.0,Busungbiu,Buleleng
2024-03-30,"Pering, Gianyar",100.0,1950000.0,195000000.0,Pering,Gianyar
2024-04-29,"Nyanyi, Badung",600.0,16000000.0,9600000000.0,Nyanyi,Badung
2024-04-29,"Nusa Dua, Badung",300.0,5000000.0,1500000000.0,Nusa Dua,Badung
2024-04-29,"Denpasar Barat, Denpasar",600.0,7500000.0,4500000000.0,Denpasar Barat,Denpasar
2023-12-01,"Canggu, Badung",200.0,9000000.0,1800000000.0,Canggu,Badung
2024-04-29,"Nyanyi, Badung",600.0,16000000.0,9600000000.0,Nyanyi,Badung
2024-04-29,"Denpasar Barat, Denpasar",600.0,7500000.0,4500000000.0,Denpasar Barat,Denpasar
2024-04-27,"Pecatu, Badung",986.0,15000000.0,14790000000.0,Pecatu,Badung
2024-04-29,"Denpasar Timur, Denpasar",187.0,2272727.272727273,425000000.0,Denpasar Timur,Denpasar
2024-04-29,"Padangsambian Kaja, Denpasar",990.0,7000000.0,6930000000.0,Padangsambian Kaja,Denpasar
2024-04-29,"Amed, Karangasem",5780.0,302768.1660899654,1750000000.0,Amed,Karangasem
2024-04-29,"Sidakarya, Denpasar",400.0,5500000.0,2200000000.0,Sidakarya,Denpasar
2023-12-31,"Renon, Denpasar",1000.0,10000000.0,10000000000.0,Renon,Denpasar
2024-04-29,"Puri Gading, Badung",2135.0,3498829.0398126463,7470000000.0,Puri Gading,Badung
2024-04-29,"Renon, Denpasar",520.0,9500000.0,4940000000.0,Renon,Denpasar
2024-04-29,"Canggu, Badung",300.0,18000000.0,5400000000.0,Canggu,Badung
2024-04-01,"Sanur, Denpasar",150.0,8000000.0,1200000000.0,Sanur,Denpasar
2024-04-29,"Dalung, Badung",210.0,6500000.0,1365000000.0,Dalung,Badung
2024-04-29,"Kediri, Tabanan",145.0,3793103.4482758623,550000000.0,Kediri,Tabanan
2024-04-01,"Goa Gong, Badung",450.0,3733333.3333333335,1680000000.0,Goa Gong,Badung
2024-04-25,"Mengwi, Badung",150.0,3000000.0,450000000.0,Mengwi,Badung
2024-04-29,"Pemecutan Kaja, Denpasar",600.0,7500000.0,4500000000.0,Pemecutan Kaja,Denpasar
2024-04-29,"Denpasar Barat, Denpasar",990.0,7000000.0,6930000000.0,Denpasar Barat,Denpasar
2024-04-29,"Banjaranyar, Tabanan",145.0,3793103.4482758623,550000000.0,Banjaranyar,Tabanan
2024-04-29,"Taro, Gianyar",6438.0,1693072.3827275552,10900000000.0,Taro,Gianyar
2024-04-29,"Denpasar Barat, Denpasar",990.0,7000000.0,6930000000.0,Denpasar Barat,Denpasar
2024-03-30,"Kediri, Tabanan",100.0,2900000.0,290000000.0,Kediri,Tabanan
2024-04-29,"Ungasan, Badung",529.0,3500000.0,1851500000.0,Ungasan,Badung
2024-04-23,"Canggu, Badung",145.0,15000000.0,2175000000.0,Canggu,Badung
2024-04-22,"Jimbaran, Badung",407.0,4500000.0,1831500000.0,Jimbaran,Badung
2024-04-25,"Canggu, Badung",240.0,9500000.0,2280000000.0,Canggu,Badung
2024-01-30,"Jimbaran, Badung",600.0,7000000.0,4200000000.0,Jimbaran,Badung
2024-03-30,"Canggu, Badung",400.0,7000000.0,2800000000.0,Canggu,Badung
2024-04-29,"Umalas, Badung",3800.0,6578947.368421053,25000000000.0,Umalas,Badung
2024-04-26,"Canggu, Badung",500.0,18000000.0,9000000000.0,Canggu,Badung
2024-03-30,"Selemadeg, Tabanan",1600.0,281250.0,450000000.0,Selemadeg,Tabanan
2024-03-30,"Kerambitan, Tabanan",2000.0,5500000.0,11000000000.0,Kerambitan,Tabanan
2024-03-30,"Kerambitan, Tabanan",5500.0,2850000.0,15675000000.0,Kerambitan,Tabanan
2024-04-15,"Tangguntiti, Tabanan",2825.0,998230.0884955752,2820000000.0,Tangguntiti,Tabanan
2024-04-28,"Canggu, Badung",400.0,8500000.0,3400000000.0,Canggu,Badung
2024-04-22,"Kuta, Badung",1200.0,8000000.0,9600000000.0,Kuta,Badung
2024-04-28,"Munggu, Badung",150.0,10000000.0,1500000000.0,Munggu,Badung
2024-04-28,"Sesetan, Denpasar",129.0,7000000.0,903000000.0,Sesetan,Denpasar
2024-04-08,"Pererenan, Badung",4300.0,5000000.0,21500000000.0,Pererenan,Badung
2024-03-30,"Cemagi, Badung",590.0,8750000.0,5162500000.0,Cemagi,Badung
2024-04-25,"Padangsambian Kelod, Denpasar",513.0,6750000.0,3462750000.0,Padangsambian Kelod,Denpasar
2024-04-01,"Pererenan, Badung",1200.0,5458333.333333333,6550000000.0,Pererenan,Badung
2024-03-30,"Denpasar Barat, Denpasar",1080.0,6750000.0,7290000000.0,Denpasar Barat,Denpasar
2024-04-28,"Tanah Lot, Tabanan",145.0,3793103.4482758623,550000000.0,Tanah Lot,Tabanan
2024-04-22,"Cemagi, Badung",590.0,15000000.0,8850000000.0,Cemagi,Badung
2024-03-30,"Bedugul, Tabanan",4900.0,1300000.0,6370000000.0,Bedugul,Tabanan
2024-03-30,"Kerambitan, Tabanan",2000.0,2750.0,5500000.0,Kerambitan,Tabanan
2024-03-30,"Kerambitan, Tabanan",400.0,1650000.0,660000000.0,Kerambitan,Tabanan
2024-03-30,"Kerambitan, Tabanan",1500.0,1650000.0,2475000000.0,Kerambitan,Tabanan
2024-02-29,"Kelating, Tabanan",950.0,3200000.0,3040000000.0,Kelating,Tabanan
2024-02-29,"Kalibubuk, Buleleng",200.0,1100000.0,220000000.0,Kalibubuk,Buleleng
2024-04-26,"Canggu, Badung",412.0,10000000.0,4120000000.0,Canggu,Badung
2024-03-30,"Kerambitan, Tabanan",2000.0,4750000.0,9500000000.0,Kerambitan,Tabanan
2024-03-30,"Bedugul, Tabanan",1200.0,1700000.0,2040000000.0,Bedugul,Tabanan
2024-04-15,"Ubud, Gianyar",710.0,10000000.0,7100000000.0,Ubud,Gianyar
2024-04-28,"Mumbul, Badung",700.0,8000000.0,5600000000.0,Mumbul,Badung
2024-04-28,"Jimbaran, Badung",3000.0,5000000.0,15000000000.0,Jimbaran,Badung
2024-04-28,"Renon, Denpasar",600.0,13500000.0,8100000000.0,Renon,Denpasar
2024-04-28,"Umalas, Badung",730.0,12000000.0,8760000000.0,Umalas,Badung
2024-04-28,"Ungasan, Badung",462.0,4000000.0,1848000000.0,Ungasan,Badung
2024-01-30,"Ungasan, Badung",2000.0,9000000.0,18000000000.0,Ungasan,Badung
2024-04-25,"Pemogan, Denpasar",450.0,4000000.0,1800000000.0,Pemogan,Denpasar
2024-04-28,"Beraban, Tabanan",600.0,16000000.0,9600000000.0,Beraban,Tabanan
2024-04-28,"Kediri, Tabanan",200.0,4750000.0,950000000.0,Kediri,Tabanan
2024-04-28,"Ketewel, Gianyar",250.0,5890000.0,1472500000.0,Ketewel,Gianyar
2024-04-28,"Kerobokan, Badung",150.0,7750000.0,1162500000.0,Kerobokan,Badung
2024-04-28,"Denpasar Barat, Denpasar",435.0,6896551.724137931,3000000000.0,Denpasar Barat,Denpasar
2024-04-28,"Nyanyi, Badung",600.0,16000000.0,9600000000.0,Nyanyi,Badung
2024-04-28,"Denpasar Barat, Denpasar",855.0,6250000.0,5343750000.0,Denpasar Barat,Denpasar
2024-04-24,"Goa Gong, Badung",100.0,4000000.0,400000000.0,Goa Gong,Badung
2024-04-28,"Nusa Dua, Badung",1540.0,5500000.0,8470000000.0,Nusa Dua,Badung
2024-04-28,"Denpasar Barat, Denpasar",990.0,7000000.0,6930000000.0,Denpasar Barat,Denpasar
2024-04-28,"Gianyar, Gianyar",3800.0,3900000.0,14820000000.0,Gianyar,Gianyar
2024-03-30,"Kubutambahan, Buleleng",1100.0,2150000.0,2365000000.0,Kubutambahan,Buleleng
2024-04-28,"Kelating, Tabanan",3500.0,1500000.0,5250000000.0,Kelating,Tabanan
2024-02-29,"Kesiman, Denpasar",2000.0,8500000.0,17000000000.0,Kesiman,Denpasar
2024-04-28,"Kediri, Tabanan",500.0,5000000.0,2500000000.0,Kediri,Tabanan
2024-04-28,"Sading, Badung",100.0,4550000.0,455000000.0,Sading,Badung
2024-04-28,"Jimbaran, Badung",800.0,6500000.0,5200000000.0,Jimbaran,Badung
2024-04-28,"Nyanyi, Badung",600.0,16000000.0,9600000000.0,Nyanyi,Badung
2024-01-30,"Ungasan, Badung",850.0,4500000.0,3825000000.0,Ungasan,Badung
2024-02-29,"Ungasan, Badung",583.0,9750000.0,5684250000.0,Ungasan,Badung
2024-03-30,"Ungasan, Badung",800.0,6500000.0,5200000000.0,Ungasan,Badung
2024-04-08,"Ungasan, Badung",200.0,4500000.0,900000000.0,Ungasan,Badung
2024-04-08,"Ungasan, Badung",1825.0,5500000.0,10037500000.0,Ungasan,Badung
2024-01-30,"Ungasan, Badung",700.0,3500000.0,2450000000.0,Ungasan,Badung
2024-04-28,"Nusa Dua, Badung",410.0,6300000.0,2583000000.0,Nusa Dua,Badung
2024-04-28,"Denpasar Barat, Denpasar",600.0,7500000.0,4500000000.0,Denpasar Barat,Denpasar
2024-04-28,"Canggu, Badung",240.0,9500000.0,2280000000.0,Canggu,Badung
2024-04-28,"Pecatu, Badung",346.0,7300000.0,2525800000.0,Pecatu,Badung
2024-04-28,"Denpasar Barat, Denpasar",420.0,13000000.0,5460000000.0,Denpasar Barat,Denpasar
2024-04-28,"Beraban, Tabanan",600.0,16000000.0,9600000000.0,Beraban,Tabanan
2024-04-28,"Beraban, Tabanan",600.0,16000000.0,9600000000.0,Beraban,Tabanan
2024-04-28,"Ungasan, Badung",100.0,3750000.0,375000000.0,Ungasan,Badung
2024-04-28,"Ungasan, Badung",400.0,3600000.0,1440000000.0,Ungasan,Badung
2024-04-28,"Gianyar, Gianyar",3800.0,4500000.0,17100000000.0,Gianyar,Gianyar
2024-04-28,"Denpasar Barat, Denpasar",1060.0,12500000.0,13250000000.0,Denpasar Barat,Denpasar
2024-04-28,"Ubud, Gianyar",312.0,2850000.0,889200000.0,Ubud,Gianyar
2024-03-30,"Kerambitan, Tabanan",330.0,2727272.727272727,900000000.0,Kerambitan,Tabanan
2024-03-30,"Canggu, Badung",1400.0,8750000.0,12250000000.0,Canggu,Badung
2023-12-31,"Nusa Dua, Badung",410.0,6000000.0,2460000000.0,Nusa Dua,Badung
2024-04-28,"Klungkung Kota, Klungkung",1700.0,3000000.0,5100000000.0,Klungkung Kota,Klungkung
2024-03-30,"Canggu, Badung",412.0,10000000.0,4120000000.0,Canggu,Badung
2024-04-15,"Jimbaran, Badung",230.0,4347826.0869565215,1000000000.0,Jimbaran,Badung
2024-04-15,"Jimbaran, Badung",246.0,5500000.0,1353000000.0,Jimbaran,Badung
2024-04-28,"Jimbaran, Badung",600.0,15000000.0,9000000000.0,Jimbaran,Badung
2024-04-28,"Tonja, Denpasar",115.0,7000000.0,805000000.0,Tonja,Denpasar
2023-12-31,"Seminyak, Badung",680.0,10800000.0,7344000000.0,Seminyak,Badung
2024-02-29,"Belalang, Tabanan",650.0,5000000.0,3250000000.0,Belalang,Tabanan
2024-04-27,"Renon, Denpasar",200.0,13000000.0,2600000000.0,Renon,Denpasar
2024-04-28,"Mengwi, Badung",350.0,4750000.0,1662500000.0,Mengwi,Badung
2024-04-28,"Nyanyi, Badung",600.0,16000000.0,9600000000.0,Nyanyi,Badung
2024-04-28,"Mumbul, Badung",600.0,6500000.0,3900000000.0,Mumbul,Badung
2024-04-28,"Denpasar Selatan, Denpasar",2.0,10000000.0,20000000.0,Denpasar Selatan,Denpasar
2024-04-28,"Jimbaran, Badung",300.0,3733333.3333333335,1120000000.0,Jimbaran,Badung
2024-04-28,"Sidakarya, Denpasar",100.0,7500000.0,750000000.0,Sidakarya,Denpasar
2024-04-28,"Nyanyi, Badung",600.0,16000000.0,9600000000.0,Nyanyi,Badung
2024-04-28,"Kesiman, Denpasar",240.0,7500000.0,1800000000.0,Kesiman,Denpasar
2024-04-28,"Jimbaran, Badung",900.0,3750000.0,3375000000.0,Jimbaran,Badung
2024-04-28,"Jimbaran, Badung",300.0,4000000.0,1200000000.0,Jimbaran,Badung
2024-04-28,"Pecatu, Badung",1500.0,15000000.0,22500000000.0,Pecatu,Badung
2024-04-28,"Lukluk, Badung",100.0,5850000.0,585000000.0,Lukluk,Badung
2024-04-28,"Pecatu, Badung",500.0,16000000.0,8000000000.0,Pecatu,Badung
2024-04-28,"Pecatu, Badung",1975.0,14987341.772151899,29600000000.0,Pecatu,Badung
2024-04-28,"Canggu, Badung",400.0,8500000.0,3400000000.0,Canggu,Badung
2024-04-28,"Ubud, Gianyar",680.0,10455882.352941176,7110000000.0,Ubud,Gianyar
2024-04-28,"Sukawati, Gianyar",3000.0,6000000.0,18000000000.0,Sukawati,Gianyar
2024-04-28,"Benoa, Badung",2580.0,4950000.0,12771000000.0,Benoa,Badung
2024-04-28,"Uluwatu, Badung",400.0,5500000.0,2200000000.0,Uluwatu,Badung
2024-04-28,"Nyanyi, Badung",600.0,16000000.0,9600000000.0,Nyanyi,Badung
2024-04-28,"Benoa, Badung",210.0,4404761.904761905,925000000.0,Benoa,Badung
2024-04-28,"Benoa, Badung",200.0,4750000.0,950000000.0,Benoa,Badung
2024-04-28,"Nusa Dua, Badung",250.0,3900000.0,975000000.0,Nusa Dua,Badung
2024-04-28,"Beraban, Tabanan",600.0,16000000.0,9600000000.0,Beraban,Tabanan
2024-04-28,"Panjer, Denpasar",300.0,6750000.0,2025000000.0,Panjer,Denpasar
2024-04-28,"Tuban, Badung",1550.0,16129032.258064516,25000000000.0,Tuban,Badung
2024-04-22,"Nusa Dua, Badung",350.0,5750000.0,2012500000.0,Nusa Dua,Badung
2024-04-28,"Renon, Denpasar",420.0,3095238.095238095,1300000000.0,Renon,Denpasar
2024-04-28,"Jimbaran, Badung",1700.0,9000000.0,15300000000.0,Jimbaran,Badung
2024-04-22,"Nusa Dua, Badung",371.0,5750000.0,2133250000.0,Nusa Dua,Badung
2024-04-28,"Sidakarya, Denpasar",100.0,7500000.0,750000000.0,Sidakarya,Denpasar
2023-12-31,"Nusa Dua, Badung",2200.0,3750000.0,8250000000.0,Nusa Dua,Badung
2023-12-31,"Nusa Dua, Badung",1500.0,4000000.0,6000000000.0,Nusa Dua,Badung
2024-04-28,"Dalung, Badung",350.0,4750000.0,1662500000.0,Dalung,Badung
2024-04-28,"Cemagi, Badung",350.0,7485714.285714285,2620000000.0,Cemagi,Badung
2024-04-28,"Ungasan, Badung",10.0,3500000.0,35000000.0,Ungasan,Badung
2024-04-28,"Kediri, Tabanan",900.0,1500000.0,1350000000.0,Kediri,Tabanan
2024-04-27,"Pemuteran, Buleleng",700.0,300000.0,210000000.0,Pemuteran,Buleleng
2024-04-27,"Pemuteran, Buleleng",1500.0,3000000.0,4500000000.0,Pemuteran,Buleleng
2024-04-01,"Denpasar Utara, Denpasar",100.0,4100000.0,410000000.0,Denpasar Utara,Denpasar
2024-04-27,"Munggu, Badung",3064.0,9500000.0,29108000000.0,Munggu,Badung
2024-04-15,"Gianyar, Gianyar",800.0,6500000.0,5200000000.0,Gianyar,Gianyar
2024-03-30,"Dalung, Badung",223.0,7000000.0,1561000000.0,Dalung,Badung
2024-01-30,"Jimbaran, Badung",246.0,5487804.87804878,1350000000.0,Jimbaran,Badung
2024-02-29,"Ungasan, Badung",920.0,3913043.4782608696,3600000000.0,Ungasan,Badung
2024-04-22,"Nusa Dua, Badung",1600.0,3500000.0,5600000000.0,Nusa Dua,Badung
2023-11-01,"Jimbaran, Badung",2000.0,10000000.0,20000000000.0,Jimbaran,Badung
2024-03-30,"Jimbaran, Badung",360.0,1111111.111111111,400000000.0,Jimbaran,Badung
2024-01-30,"Jimbaran, Badung",170.0,8058823.529411765,1370000000.0,Jimbaran,Badung
2024-04-01,"Ungasan, Badung",3900.0,5179487.179487179,20200000000.0,Ungasan,Badung
2024-03-30,"Ubud, Gianyar",1620.0,5000000.0,8100000000.0,Ubud,Gianyar
2024-04-08,"Nusa Dua, Badung",800.0,8000000.0,6400000000.0,Nusa Dua,Badung
2024-04-24,"Jimbaran, Badung",180.0,4861111.111111111,875000000.0,Jimbaran,Badung
2024-04-27,"Seminyak, Badung",500.0,16000000.0,8000000000.0,Seminyak,Badung
2024-04-24,"Ungasan, Badung",175.0,4000000.0,700000000.0,Ungasan,Badung
2024-04-15,"Nusa Dua, Badung",1500.0,4746666.666666667,7120000000.0,Nusa Dua,Badung
2024-04-24,"Nusa Dua, Badung",700.0,3000000.0,2100000000.0,Nusa Dua,Badung
2024-04-24,"Nusa Dua, Badung",310.0,3145161.290322581,975000000.0,Nusa Dua,Badung
2024-04-24,"Jimbaran, Badung",184.0,4755434.782608695,875000000.0,Jimbaran,Badung
2024-04-24,"Ungasan, Badung",2245.0,5968819.599109132,13400000000.0,Ungasan,Badung
2024-03-30,"Ungasan, Badung",157.0,5500000.0,863500000.0,Ungasan,Badung
